Date,Close,Open,High,Low,Change %
2016-12-14,13296.0,13284.0,13296.0,13274.0,-0.09
2016-12-15,13397.5,13302.5,13397.5,13302.5,0.76
2016-12-16,13390.0,13405.0,13435.0,13365.0,-0.06
2016-12-19,13384.0,13384.0,13389.0,13374.0,-0.04
2016-12-20,13427.5,13372.5,13427.5,13372.5,0.33
2016-12-21,13469.0,13431.0,13486.0,13431.0,0.31
2016-12-22,13452.5,13452.5,13452.5,13427.5,-0.12
2016-12-23,13450.0,13455.0,13479.0,13435.0,-0.02
2016-12-26,13450.0,13450.0,13450.0,13450.0,0.0
2016-12-27,13447.5,13432.5,13447.5,13422.5,-0.02
2016-12-28,13442.5,13412.5,13462.5,13412.5,-0.04
2016-12-29,13462.5,13447.5,13482.5,13447.5,0.15
2016-12-30,13472.5,13447.5,13472.5,13422.5,0.07
2017-01-02,13472.5,13472.5,13472.5,13472.5,0.0
2017-01-03,13479.5,13461.5,13486.5,13461.5,0.05
2017-01-04,13440.0,13470.0,13485.0,13435.0,-0.29
2017-01-05,13375.0,13405.0,13405.0,13315.0,-0.48
2017-01-06,13365.0,13340.0,13365.0,13334.0,-0.07
2017-01-09,13365.0,13390.0,13398.0,13365.0,0.0
2017-01-10,13315.0,13325.0,13335.0,13285.0,-0.37
2017-01-11,13329.0,13311.0,13331.0,13301.0,0.11
2017-01-12,13290.0,13285.0,13310.0,13265.0,-0.29
2017-01-13,13331.5,13295.5,13333.5,13293.5,0.31
2017-01-16,13366.5,13303.5,13368.5,13303.5,0.26
2017-01-17,13351.5,13351.5,13381.5,13331.5,-0.11
2017-01-18,13342.5,13322.5,13342.5,13317.5,-0.07
2017-01-19,13373.0,13375.0,13385.0,13355.0,0.23
2017-01-20,13410.0,13395.0,13410.0,13375.0,0.28
2017-01-23,13360.0,13380.0,13385.0,13345.0,-0.37
2017-01-24,13331.0,13339.0,13341.0,13304.0,-0.22
2017-01-25,13360.5,13339.5,13364.5,13334.5,0.22
2017-01-26,13336.0,13311.0,13342.0,13311.0,-0.18
2017-01-27,13358.5,13356.5,13366.5,13346.5,0.17
2017-01-30,13345.0,13335.0,13358.0,13335.0,-0.1
2017-01-31,13352.0,13340.0,13360.0,13335.0,0.05
2017-02-01,13372.5,13342.5,13387.5,13337.5,0.15
2017-02-02,13352.5,13362.5,13377.5,13347.5,-0.15
2017-02-03,13345.0,13365.0,13375.0,13340.0,-0.06
2017-02-06,13322.5,13317.5,13334.5,13316.5,-0.17
2017-02-07,13328.5,13324.5,13339.5,13319.5,0.05
2017-02-08,13325.0,13338.0,13345.0,13324.0,-0.03
2017-02-09,13302.5,13312.5,13317.5,13282.5,-0.17
2017-02-10,13315.5,13315.5,13322.5,13303.5,0.1
2017-02-13,13326.5,13326.5,13331.5,13316.5,0.08
2017-02-14,13330.5,13322.5,13334.5,13315.5,0.03
2017-02-15,13330.5,13330.5,13330.5,13330.5,0.0
2017-02-16,13320.0,13315.0,13336.0,13315.0,-0.08
2017-02-17,13332.5,13327.5,13337.5,13322.5,0.09
2017-02-20,13354.0,13331.0,13359.0,13326.0,0.16
2017-02-21,13372.5,13367.5,13377.5,13360.5,0.14
2017-02-22,13367.0,13360.0,13368.0,13350.0,-0.04
2017-02-23,13351.0,13356.0,13363.0,13344.0,-0.12
2017-02-24,13330.5,13326.5,13337.5,13326.5,-0.15
2017-02-27,13342.5,13331.5,13349.5,13331.5,0.09
2017-02-28,13336.0,13350.0,13355.0,13336.0,-0.05
2017-03-01,13362.0,13356.0,13366.0,13351.0,0.19
2017-03-02,13358.5,13361.5,13366.5,13351.5,-0.03
2017-03-03,13382.5,13362.5,13382.5,13362.5,0.18
2017-03-06,13350.0,13362.0,13372.0,13342.0,-0.24
2017-03-07,13347.0,13339.0,13351.0,13339.0,-0.02
2017-03-08,13350.0,13350.0,13353.0,13338.0,0.02
2017-03-09,13386.5,13366.5,13386.5,13366.5,0.27
2017-03-10,13379.0,13386.0,13396.0,13379.0,-0.06
2017-03-13,13356.0,13351.0,13366.0,13351.0,-0.17
2017-03-14,13371.5,13356.5,13373.5,13356.5,0.12
2017-03-15,13365.0,13365.0,13380.0,13365.0,-0.05
2017-03-16,13348.5,13323.5,13353.5,13323.5,-0.12
2017-03-17,13345.0,13333.0,13356.0,13323.0,-0.03
